subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
anfrage zur integration von gitlab in die a/b-testprozesse von elevate360,"hallo support-team,\n\nich wende mich an sie bezüglich der integration von gitlab in die automatisierten a/b-test-workflows von elevate360. unser team nutzt elevate360 für automatisierte a/b-tests und möchte diese workflows mit unseren gitlab ci/cd-pipelines synchronisieren, um eine effizientere planung der bereitstellungen zu ermöglichen. wir wären ihnen dankbar, wenn sie uns dokumentationen oder richtlinien zur integration dieser tools zur verfügung stellen könnten. diese integration ist für uns entscheidend, um releases effizient validieren zu können. derzeit verwenden wir das release-management-tool von gitlab und sind der überzeugung, dass die kombination dieser plattformen unseren workflow verbessern wird.",release management,release management,nan,low,2,german,german
alarm: sicherheitsverletzung bei symantec endpoint protection erkannt,"liebes support-team,\n\nich melde eine kritische sicherheitsverletzung, die in der symantec endpoint protection 14.3 umgebung entdeckt wurde. die verletzung wurde in den vorausschauenden wartungssystemen von greenstream energy gefunden und erfordert eine sofortige eskalation an den anbieter, um datenverlust zu vermeiden. der vorfall begann um 10:00 uhr, und unser internes personal konnte ihn bisher nicht beheben. die betroffenen geräte laufen unter windows 10 mit den aktuellsten updates von symantec endpoint protection 14.3. im anhang finden sie einen screenshot des fehlers zu ihrer information.",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
dringende aufmerksamkeit erforderlich: azure-abrechnungsproblem beeinträchtigt ai portfolio management dienste,"liebes support-team, ich wende mich wegen eines dringenden problems mit der azure-abonnementabrechnung an sie. unsere dienste wurden aufgrund einer abrechnungsinkonsistenz suspendiert, was zu unterbrechungen bei den transaktionen unserer ai-portfolio-management-kunden führt. wir haben versucht, das problem über das portal zu beheben, jedoch ohne erfolg. wir benötigen so schnell wie möglich unterstützung, um weitere störungen zu verhindern. wir arbeiten in einer azure windows 10 umgebung mit den neuesten installierten updates. ein screenshot der fehlermeldung ist zu ihrer information beigefügt. bitte helfen sie uns, diese angelegenheit dringend zu klären. vielen dank für ihre unterstützung.",account & billing management,account & billing management,nan,high,4,german,german
rechnungsproblem mit ikea malm bett,"liebes support-team, das ikea malm bett wurde versehentlich berechnet, was zu unterbrechungen des greenstream-dienstes führt. bitte helfen sie, diesen dringenden abrechnungsfehler schnell zu korrigieren.",account & billing management,account & billing management,nan,high,4,german,german
dringende sicherheitslücke in linux mint,"liebes support-team,\n\nich wende mich an sie, um auf eine kritische sicherheitslücke im betriebssystem linux mint hinzuweisen, die umgehend behoben werden muss. unser kunde, clinicsync solutions, ist gefährdet, da patientendaten durch diese schwachstelle möglicherweise offengelegt wurden. wir bitten sie höflich, so bald wie möglich ein sicherheitsupdate zu veröffentlichen, um potenzielle datenverstöße zu verhindern. die zügige behebung dieser schwachstelle ist entscheidend zum schutz sensibler patientendaten.\n\nwir wären dankbar, wenn sie uns einen geschätzten zeitrahmen mitteilen könnten, wann der patch verfügbar sein wird.",security operations,security operations,nan,high,4,german,german
anfrage bezüglich aktualisierungen der vpn-filialdokumentation,"hallo support-team,<br>ich suche eine klärung bezüglich der vpn-filialdokumentation im zusammenhang mit den vpn-bereitstellungs-workflows der novapm-filiale. insbesondere interessiere ich mich für die neuesten richtlinien zur integration von git version 2.32 mit der aktuellen konfiguration.<br>ich verstehe, dass dies eine nachrangige anfrage ist; dennoch halte ich es für wichtig, die dokumentation aktuell zu halten, um eine korrekte ausrichtung mit den devops-integrationsprozessen sicherzustellen, insbesondere im hinblick auf die terminologie der netzwerkbereitstellung.<br>ich wäre dankbar, wenn sie mir die aktuellsten richtlinien zur verfügung stellen oder mich an die entsprechenden ressourcen verweisen könnten.",network infrastructure,network infrastructure,nan,low,2,german,german
problem mit dem etl-prozess,"hallo support-team, wir haben gelegentlich verzögerungen beim datenimport der zapier-etl-pipeline von urbangrid, was sich auf die aktualisierungen unserer echtzeit-dashboards auswirkt. im moment verlassen wir uns vorübergehend auf einen manuellen csv-upload. ihre unterstützung bei der lösung dieses problems wäre sehr willkommen. vielen dank, <name>",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
probleme mit smartsheet-api-fehlern,"liebes support-team, ich melde gelegentliche api-synchronisationsfehler zwischen stratoworks und smartsheet, die zu verzögerungen bei den projektdaten führen. obwohl wir eine vorübergehende lösung mit manueller dateneingabe haben, bin ich weiterhin besorgt über die zuverlässigkeit der integration. die fehler treten sporadisch auf, was es schwierig macht, ein konsistentes muster zu erkennen. diese probleme treten sowohl auf windows- als auch auf macos-plattformen auf, während die neuesten versionen der browser chrome und firefox verwendet werden. ihre ratschläge zur fehlersuche und zur behebung dieses problems, um eine reibungslose datensynchronisierung zu gewährleisten, wären sehr willkommen. bitte lassen sie mich wissen, falls sie weitere details benötigen.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
anfrage zur integration von airtable,"liebes support-team, ich wende mich an sie mit dem vorschlag, airtable in die customer journey mapping workflows von elevate360 zu integrieren, um ux-feedback zentral zu erfassen und effektiv zu priorisieren. diese ergänzung würde den fokus von elevate360 auf die automatisierung des customer journey mappings ideal ergänzen. meiner meinung nach wäre airtable als kollaborativer arbeitsbereich ein hervorragendes tool zur organisation von ux-feedback. ich habe dies als feature-anfrage mit niedriger priorität markiert; es ist zwar nicht dringend, könnte aber im laufe der zeit sehr vorteilhaft sein. ich würde mich freuen, ihre meinung zu dieser idee sowie mögliche umsetzungspläne zu hören.",user experience & design feedback,user experience & design feedback,nan,low,2,german,german
dashboard-aufgabenbeschriftungen im stratoworks-headset haben geringen kontrast,"liebes support-team, ich habe ein problem, bei dem die aufgabenbeschriftungen auf dem stratoworks-dashboard im headset einen geringen kontrast aufweisen.",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
ehr-schnittstellenfehler nach installation des oscommerce-updates,"liebes support-team,\n\nich habe nach der anwendung des neuesten oscommerce-integrationsupdates gelegentliche ausfälle bei der ehr-datenzuordnung festgestellt. das problem trat nach dem update auf, und bisher dient die manuelle dateneingabe als vorübergehende lösung. wir arbeiten auf der plattform healthguard systems.\n\nkönnten sie bitte bei der behebung dieses problems helfen? ihr rat zu verfügbaren patches zur behebung des ehr-schnittstellenfehlers wäre sehr willkommen.\n\nvielen dank für ihre zeit und unterstützung.\n\nmit freundlichen grüßen,\n<name>",release management,release management,nan,medium,3,german,german
dringend: gitlab-integrationsfehler verursacht vollständigen ausfall des dienstes,"liebes support-team, ich habe derzeit ein schwerwiegendes problem mit der gitlab-integration, das zu einem totalen ausfall des dienstes geführt hat und unsere devops-prozesse stark beeinträchtigt. es wird umgehend hilfe benötigt, um die dienste wiederherzustellen. das problem trat erst kürzlich auf und besteht weiterhin. bitte helfen sie uns, diese angelegenheit so schnell wie möglich zu lösen. vielen dank, <name>",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
dringendes problem bei der datenmigration aufgetreten,"sehr geehrtes support-team, wir haben während des datenmigrationsprozesses der clinicsync-konfiguration über die google cloud platform eine schwerwiegende störung, die zu erheblichen datenverlusten führt.",customer onboarding,customer onboarding,nan,high,4,german,german
sicherheits-patch-verzögerungen aufgrund von jenkins-integrationsproblemen,"liebes support-team, wir haben sporadische verzögerungen bei der jenkins-integration, die die bereitstellung wichtiger sicherheitspatches auf der stratoworks-cloud-projektplattform beeinträchtigen. derzeit wird als vorübergehende maßnahme eine manuelle bereitstellung verwendet.",security operations,security operations,nan,medium,3,german,german
smartwatch kann nicht synchronisieren,"liebes support-team, ich melde ein kritisches problem mit der ecologix smartwatch, das den abschluss des onboarding-prozesses verhindert. das gerät synchronisiert die daten nicht richtig, wodurch die migration der kohlendioxiddaten blockiert wird. dieses problem ist dringend und muss innerhalb der nächsten 4 stunden gelöst werden, um die datenintegrität zu gewährleisten. die smartwatch läuft mit der neuesten firmware-version, und ein mehrmaliges neustarten des geräts hat das problem nicht behoben. die internetverbindung wurde als stabil überprüft.",customer onboarding,customer onboarding,nan,high,4,german,german
massenbearbeitungsfunktion in airtable,"liebes support-team, ich kontaktiere sie bezüglich der massenbearbeitungsfunktion von airtable im zusammenhang mit dem setup des retailvision-inventar-heatmap-dashboards. derzeit müssen wir jeden artikel einzeln manuell konfigurieren, was zeitaufwendig und fehleranfällig ist. wir bitten um die möglichkeit, konfigurationen in großen mengen zu bearbeiten, um unseren arbeitsablauf zu optimieren. diese verbesserung würde die effizienz unseres teams erheblich steigern und uns ermöglichen, uns auf wichtigere aufgaben zu konzentrieren. die massenbearbeitungsfunktion würde es uns erlauben, mehrere datensätze gleichzeitig zu aktualisieren, wodurch die benötigte zeit reduziert wird.",data analytics & reporting,data analytics & reporting,nan,low,2,german,german
unterstützung benötigt bei mysql 8.0 rollback-support,"liebes support-team,\n\nich wende mich an sie, um ein update bezüglich der medisecure health-richtlinien für rollback-verfahren im zusammenhang mit der mysql 8.0-version anzufragen. wir konzentrieren uns darauf, die hipaa-konformität während der rücksetzvorgänge sicherzustellen, weshalb präzise und aktuelle informationen unerlässlich sind.\n\nkönnten sie bitte bestätigen, ob die aktuelle dokumentation die spezifischen anforderungen für das zurücksetzen der mysql 8.0-version unter wahrung der compliance umfassend abdeckt? es wäre sehr hilfreich, wenn die dokumentation klargestellt und aktualisiert werden könnte, um diese details einzubeziehen, da dies unsere laufenden bemühungen erheblich unterstützen würde.",release management,release management,nan,low,2,german,german
vpn-dienstunterbrechung,"liebes support-team, ich wende mich an sie, um ein kritisches problem mit der aws-vpn-verbindung zu melden, das die verschlüsselung sensibler patientendaten bei medisecure health beeinträchtigt. unsere organisation ist im bereich healthcare-it mit strenger hipaa-konformität tätig und ist stark auf die sicheren cloud-dienste von aws angewiesen. dieses anhaltende vpn-problem unterbricht die ende-zu-ende-verschlüsselung, stellt ein risiko für die hipaa-konformität dar und bringt den medizinischen betrieb zum stillstand. wir bitten sie dringend, diese situation aufgrund der schwerwiegenden hipaa-auswirkungen mit höchster priorität zu behandeln.",network infrastructure,network infrastructure,nan,high,4,german,german
anfrage nach rapidminer sicherheitsdokumentation,"liebes support-team, ich kontaktiere ecologix bezüglich der integration der iot-nachhaltigkeitsanalysen von rapidminer. wir suchen die neuesten anweisungen zu den sicherheitsprotokollen von rapidminer für die überwachung von schwachstellen. obwohl dies ein technisch eher weniger dringendes upgrade ist, würden wir es sehr schätzen, wenn sie uns die entsprechenden dokumentationen zur verfügung stellen könnten. unser ziel ist es, unsere allgemeine sicherheitslage zu verbessern und die einhaltung der branchenstandards sicherzustellen. bitte informieren sie uns, ob sie die angeforderten materialien bereitstellen können. vielen dank für ihre zeit und unterstützung. mit freundlichen grüßen, <name>",security operations,security operations,nan,low,2,german,german
"problem mit wiederholter rechnungserstellung, die nicht abgeschlossen wird","liebes support-team, ich habe unvollständige fehler bei der automatischen rechnungserstellung über shoplink commerce, was zu verzögerungen in unseren abrechnungszyklen führt. derzeit verlasse ich mich als vorübergehende lösung auf einen manuellen export. bitte helfen sie, dieses problem innerhalb der nächsten 24 stunden zu beheben. vielen dank, <name>",account & billing management,account & billing management,nan,medium,3,german,german
probleme mit der smartsheet-api-konnektivität,"liebes support-team, ich erlebe gelegentliche ausfälle bei der synchronisierung der stratoworks smartsheet-api, was zu verzögerungen bei der aktualisierung der projektdaten führt. obwohl wir eine vorübergehende lösung implementiert haben, indem wir die daten manuell eingeben, mache ich mir sorgen um die allgemeine zuverlässigkeit der integration. die fehler treten unregelmäßig auf, sodass es schwierig ist, ein konsistentes muster zu erkennen. diese probleme wurden sowohl unter windows als auch macos beobachtet, wobei die neuesten versionen der browser chrome und firefox verwendet werden. ich würde mich über ratschläge oder schritte zur fehlerbehebung und behebung dieser probleme freuen, um eine reibungslose und unterbrechungsfreie datensynchronisation zu gewährleisten. bitte informieren sie mich so bald wie möglich.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
problem bei der aws-bereitstellung,"liebes support-team, ich habe nach der bereitstellung eine rollback-fehlfunktion in aws, die die hipaa-konformität gefährdet, da es nach dem release zu einer fehlfunktion kommt. dieses problem setzt verschlüsselte gesundheitsdaten aufs spiel und erfordert eine dringende eskalation innerhalb von 4 stunden, um hipaa-verstöße zu vermeiden. mit freundlichen grüßen, <name>",release management,release management,nan,high,4,german,german
verzögerungen beim laden des navigationsmenüs beeinträchtigen ux-tests auf bigcommerce,"hallo support-team,\n\nich erlebe gelegentliche verzögerungen beim laden des navigationsmenüs in bigcommerce, was die ux-testverfahren stört. dies geschieht im bigcommerce-admin-panel elevate360 und wird als problem mittlerer priorität eingestuft. derzeit verlasse ich mich als vorübergehende lösung auf ein manuelles aktualisieren, obwohl dies die bemühungen zur verbesserung der ux verlangsamt. das problem tritt unvorhersehbar auf und wurde auf mehreren seiten beobachtet, einschließlich bereichen wie produkt- und bestellverwaltung. ich habe versucht, den browser-cache zu leeren und software-updates zu überprüfen, aber das problem besteht weiterhin.",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
problem mit der konnektivität der smart security kamera,"liebes support-team, ich habe erhebliche störungen bei der integration der smart security kamera. die verbindung der drittanbieter-kamera verursacht unterbrechungen im dienst. sofortige hilfe ist erforderlich, um die sla-verfügbarkeitsstandards einzuhalten und strafen zu vermeiden. bitte unterstützen sie mich dabei, dieses problem so schnell wie möglich zu lösen. vielen dank, <name>",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
probleme bei der videowiedergabe,"liebes support-team, ich habe während der live-übertragungen der skillwave-trainings auf dem videokonferenzsystem sporadische video-unterbrechungen. als vorübergehende lösung werden aufgezeichnete module verwendet. ich wäre dankbar für ihre unterstützung bei der behebung dieses problems. - <name>",customer onboarding,customer onboarding,nan,medium,3,german,german
kritischer fehler erkannt,"liebes support-team, ich melde einen erheblichen fehler in der jenkins-pipeline für retailvision. die erfassung der verkaufsdaten ist gestoppt, was zu ausfallzeiten des dashboards führt. dieses problem erfordert dringend aufmerksamkeit, um einnahmeverluste zu vermeiden. der fehler besteht seit gestern. bitte unterstützen sie so bald wie möglich. mit freundlichen grüßen, <name>",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
anfrage zur aktualisierung der dsgvo-ergänzungen in ecologix-verträgen,"liebes support-team, ich benötige einige geringfügige änderungen der dsgvo-ergänzungen in den ecologix-verträgen. bitte überprüfen sie diese, um sicherzustellen, dass sie den eu-datenschutzstandards entsprechen. vielen dank, <name>",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
gelegentliche daten-synchronisierungsfehler im monday.com logisticore dashboard,"liebes support-team,<br>ich möchte ein problem mit dem monday.com logisticore dashboard melden, das gelegentliche fehler bei der daten-synchronisierung verursacht. dieses problem beeinträchtigt die überwachung der lieferkette, da echtzeit-updates verzögert werden. obwohl es nicht kritisch ist und ein manueller export als workaround existiert, bitte ich um ihre unterstützung, das problem zu beheben und eine reibungslose daten-synchronisierung zu gewährleisten.<br>der betroffene bereich ist die echtzeitverfolgung unter datenanalyse & reporting.",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
feedback zum seagate-laufwerk,"liebes support-team, ich möchte feedback zum seagate expansion desktop 6tb laufwerk geben, das derzeit in krankenhäusern von healthguard systems verwendet wird. das laufwerk funktioniert zuverlässig; dennoch möchte ich eine verbesserung bezüglich des led-farbkontrasts vorschlagen, um eine effektivere statusüberwachung zu ermöglichen. in einer geschäftigen umgebung ist es wichtig, den status des laufwerks auf einen blick schnell erfassen zu können. leider sind die vorhandenen led-farben schwer zu unterscheiden, insbesondere bei bestimmten lichtverhältnissen. ich bin der meinung, dass eine bessere sichtbarkeit der led-farben von vorteil wäre.",user experience & design feedback,user experience & design feedback,nan,low,2,german,german
update für dynamics 365,"liebes support-team, ich kontaktiere healthguard systems bezüglich der geplanten einsätze des updates des microsoft dynamics 365 telemedizin-moduls. wir suchen nach flexiblen terminoptionen für diese einsätze, die nicht dringend sind. hinweise zu verfügbaren zeitfenstern wären sehr hilfreich. unsere aktuelle systemkonfiguration besteht aus windows 10 als betriebssystem und google chrome als browser. das update betrifft etwa 50 benutzer, daher möchten wir den einsatz während einer niedrigverbrauchsphase planen, um störungen zu minimieren.",release management,release management,nan,low,2,german,german
anfrage zur überprüfung der aws-konfiguration auf gdpr-konformität für eu-kundendaten,"liebes support-team, wir benötigen unterstützung bei der bestätigung, dass unsere aws-konfiguration den gdpr-anforderungen im zusammenhang mit vereinbarungen zur verarbeitung von eu-kundendaten entspricht. datavest advisors nutzt aws für datenanalysen, weshalb die einhaltung der gesetzlichen vorschriften unerlässlich ist. unsere aktuelle konfiguration könnte eine gdpr-bewertung erfordern, um zu überprüfen, wie eu-daten verwaltet werden. dies ist eine routineprüfung mit niedriger priorität zur dokumentation. könnten sie uns bitte anleitungen oder ressourcen zur verfügung stellen, die uns dabei helfen, zu verifizieren, dass unsere aws-konfiguration den erforderlichen vorschriften entspricht?",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
adobe creative cloud integration,"liebes support-team, ich wende mich an sie mit der bitte um eine bessere kompatibilität des adobe creative cloud plugins mit elevate360, um die effizienz bei der gestaltung multivariater a/b-tests zu verbessern. diese verbesserung würde die ux-design-workflows erheblich unterstützen und vereinfachen. vielen dank, <name>",user experience & design feedback,user experience & design feedback,nan,low,2,german,german
serviceunterbrechung,"liebes support-team, ich melde eine erhebliche störung bei der heatmap-integration auf unserer drupal commerce-plattform, die sich auf die echtzeit-einzelhandelsanalytik auswirkt. folglich ist unsere fähigkeit, den bestand zu optimieren und dynamische preisentscheidungen zu treffen, stark beeinträchtigt. wir verwenden retailvision und sind in hohem maße auf diese integration angewiesen, um unsere geschäftsentscheidungen zu steuern. das problem trat kürzlich auf und trotz fehlersuche bleibt es ungelöst. ich habe einen screenshot beigefügt, der die aufgetretene fehlermeldung zeigt. die fehlermeldung lautet: 'heatmap integration'.",user experience & design feedback,user experience & design feedback,nan,high,4,german,german
klarheitsprobleme,"liebes support-team, ich habe schwierigkeiten mit der urbangrid dynamics-oberfläche aufgrund eines ungleichmäßigen farbkontrasts, was zu problemen mit der sichtbarkeit führt. vorübergehende zoom-anpassungen bieten etwas erleichterung. eine dauerhafte lösung wäre sehr wünschenswert. mit freundlichen grüßen, <name>",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
verzögerungsprobleme,"liebes support-team, ich habe sporadische verzögerungen bei elasticsearch-abfragen in novapm, was die ressourcenplanung beeinträchtigt. als vorübergehende lösung werden zwischengespeicherte daten verwendet. ich würde ihre hilfe bei der lösung dieses problems sehr schätzen. vielen dank, <name>",network infrastructure,network infrastructure,nan,medium,3,german,german
problem mit dem benutzerprofil,"liebes support-team, ich melde ein problem, das während der onboarding-phase auf der eduflex canvas-plattform aufgetreten ist. die migration der benutzerprofile scheint unvollständig zu sein. während benutzerdaten übertragen wurden, fehlen einige informationen. wir haben einen vorübergehenden workaround versucht, indem wir csv-dateien manuell hochgeladen haben, suchen jedoch nach einer dauerhaften lösung für dieses problem. dieses problem trat bei der neuesten version der plattform auf, die über den chrome-browser unter windows 10 aufgerufen wurde. ihre unterstützung wäre sehr willkommen.",customer onboarding,customer onboarding,nan,medium,3,german,german
sicherstellung der einhaltung der dsgvo,"liebes support-team, ich suche eine klärung bezüglich der dsgvo-konformität im zusammenhang mit dem ibm cloud-datenspeichervertrag für biotrust-medizinaufzeichnungen. da wir ibm cloud zur speicherung sensibler medizinischer daten nutzen, müssen wir bestätigen, dass die protokolle zur datenspeicherung die anforderungen der datenschutz-grundverordnung (dsgvo) erfüllen. obwohl der bestehende vertrag datenschutzrichtlinien festlegt, benötigen wir weitere details zu bestimmten elementen der dsgvo-konformität. ihre unterstützung in dieser angelegenheit wäre sehr willkommen.",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
dringendes problem mit dem tensorflow-workflow-ausfall,"sehr geehrtes support-team, ich melde ein kritisches problem mit der tensorflow-etl-pipeline für logisticore. die pipeline ist ausgefallen und unterbricht die echtzeit-erfassung der lieferkettendaten, die für die bedarfsprognose verwendet werden. dies ist ein vorrangiges problem, das innerhalb von 4 stunden behoben werden muss. trotz des versuchs, die pipeline neu zu starten, besteht der fehler weiterhin. das problem begann heute um 10:00 uhr. ein screenshot der fehlermeldung ist zu ihrer information beigefügt. bitte helfen sie, dieses problem so schnell wie möglich zu lösen. vielen dank.",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
problem bei der erstellung von gdpr-audit-trails auf dem nas-system,"liebes support-team, wir haben schwierigkeiten bei der erstellung gdpr-konformer audit-trails für medizinische daten, die auf unserem nas-system gespeichert sind, was zu verzögerungen im compliance-überprüfungsprozess führt. obwohl eine teilweise manuelle extraktionsmethode als vorübergehende lösung identifiziert wurde, ist diese nicht optimal. dieses problem fällt in die kategorie recht & compliance, insbesondere im zusammenhang mit gdpr-audit-trails, die für das biotrust nas-produkt zur sicherheit von gesundheitsdaten relevant sind. es wurde aufgrund der bestehenden zwischenlösung und der damit verbundenen risiken als mittlere priorität eingestuft.",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
anfrage nach aktualisierter github-release-dokumentation zu healthguard systems,"liebes support-team, ich benötige eine klarstellung bezüglich der github-release-dokumentation für healthguard systems. könnten sie bitte die aktuellste dokumentation zu den verfahren für das zurückrollen von releases bereitstellen, um die einhaltung der standards zu gewährleisten? dies ist eine verfeinerungsanfrage und nicht dringend. vielen dank, <name>",release management,release management,nan,low,2,german,german
lösung erforderlich für airtable-synchronisierungsproblem,"liebes support-team, ich habe gelegentlich unterbrechungen bei der airtable-synchronisierung, die dazu führen, dass veraltete produktlisten auf der shoplink commerce-plattform angezeigt werden. dieses problem begann vor einigen tagen und tritt weiterhin sporadisch auf. während manuelle updates eine vorübergehende lösung darstellen, wird eine dauerhafte behebung benötigt. ich wäre dankbar für ihre zeitnahe unterstützung bei der lösung dieses problems. vielen dank, <name>",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
hilfe bei der ehr-integration benötigt,"liebes support-team, ich habe gelegentlich probleme mit der adobe sign-integration im ehr-system von healthguard während telemedizin-sitzungen. das problem betrifft speziell die funktion der elektronischen signatur, die nicht richtig funktioniert und dadurch den patienten-einwilligungsprozess unterbricht. obwohl es eine manuelle umgehungslösung gibt, ist diese nicht effizient und beeinträchtigt die produktivität. das problem tritt unvorhersehbar auf, was die diagnose erschwert. versuche, den fehler konstant zu reproduzieren, waren erfolglos. das system läuft mit der neuesten version der ehr-software auf einer windows-10-plattform.",security operations,security operations,nan,medium,3,german,german
dringender ausfall der etl-pipeline,"liebes support-team, ich habe einen schwerwiegenden ausfall in der etl-pipeline mit zapier, der die echtzeit-erfassung von marktdaten für optiinvest analytics unterbricht. dieses problem stoppt die portfolio-optimierungsprozesse und erfordert sofortige aufmerksamkeit. der ausfall besteht seit gestern morgen. bitte helfen sie, dieses problem so schnell wie möglich zu lösen. ihre schnelle reaktion auf diese angelegenheit wird sehr geschätzt. mit freundlichen grüßen, <name>",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
elasticsearch-ausfall beeinträchtigt den zugriff auf ehr-dienste,"liebes support-team, ich melde ein kritisches problem, bei dem der ausfall des elasticsearch-clusters zu einer vollständigen unterbrechung beim abrufen der elektronischen gesundheitsakten (ehr) für telemedizin-dienste geführt hat. der ausfall ereignete sich im von healthguard systems betriebenen elasticsearch-cluster, der für den gesundheitsbetrieb unerlässlich ist. gemäß der service level agreement (sla) bitte ich darum, dieses problem umgehend an den anbieter weiterzuleiten, um das problem zu beheben und mögliche ausfallstrafen zu minimieren. der ausfall begann um 10:00 est und dauert bereits seit über 2 stunden an.",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
gemeldeter vorfall der offenlegung sensibler daten,"liebes support-team, ich möchte ein ernstes problem mit dem screen recorder von zenethflow ansprechen. die software zeichnet gelegentlich vertrauliche bereiche des terminplanungs-dashboards auf, was das risiko einer datenoffenlegung erhöht. dieses problem wurde in den letzten tagen beobachtet und bereitet unserem team große sorgen. obwohl es eine vorübergehende lösung gibt, empfehlen wir dringend, den sicherheitspatch innerhalb von 24 stunden zu implementieren, um das problem vollständig zu beheben. wir wären dankbar, wenn sie diese angelegenheit mit dringlichkeit behandeln könnten.",security operations,security operations,nan,medium,3,german,german
feedback zum seagate expansion desktop laufwerk,"liebes support-team, ich möchte gerne feedback zum seagate expansion desktop 6tb laufwerk geben, das in den krankenhauseinrichtungen von healthguard systems eingesetzt wird. das laufwerk hat sich als zuverlässig erwiesen, jedoch möchte ich eine verbesserung des led-farbkontrasts vorschlagen, um eine klarere statusanzeige zu ermöglichen. angesichts der hohen aktivität ist es wichtig, den status des laufwerks auf einen blick schnell erfassen zu können. derzeit sind die led-farben besonders unter verschiedenen lichtverhältnissen schwer zu unterscheiden. eine bessere sichtbarkeit der led-farben wäre daher sehr vorteilhaft.",user experience & design feedback,user experience & design feedback,nan,low,2,german,german
intermittentes paketverlustproblem mit vpn,"liebes support-team,<br>ich wende mich an sie, um ein intermittierendes paketverlustproblem zu melden, das unsere vpn-verbindung betrifft und die analysen bei quantedge capital beeinträchtigt.<br>dieses problem tritt sporadisch durch die firewall auf, was zu unterbrechungen bei der echtzeit-datenverarbeitung führt und verzögerungen bei der auswahl von vermögenswerten verursacht.<br>unser team ist stark auf präzise und zeitnahe daten angewiesen, um fundierte entscheidungen treffen zu können, weshalb dieses problem unsere abläufe erheblich beeinträchtigt.<br>die betroffene plattform ist windows.",network infrastructure,network infrastructure,nan,medium,3,german,german
unterstützung bei der integration von adobe creative cloud benötigt,"liebes support-team, ich wende mich an stratoworks wegen der integration von adobe creative cloud in unseren aktuellen arbeitsablauf. wir suchen rat, wie wir adobe creative cloud assets effizient in unsere ci/cd-pipelines einbinden können, um einen reibungsloseren design-zu-deployment-workflow zu schaffen. unser team untersucht verschiedene ansätze und würde offiziellen dokumentationen oder empfohlenen praktiken, die sie teilen könnten, sehr schätzen. diese integration ist entscheidend zur verbesserung unserer workflow-effizienz, und wir glauben, dass sie auch anderen nutzern im prozess zugutekommen wird.",software development,software development,nan,low,2,german,german
"kritisches abrechnungsproblem, das sofortige aufmerksamkeit erfordert","liebes support-team, ich melde mich, um ein kritisches problem hervorzuheben, das derzeit unsere devops-pipelines stoppt. unsere organisation, novapm, ist in hohem maße auf die travis ci enterprise-workflow-plattform angewiesen. leider wurde aufgrund einer abgelehnten zahlung im letzten abrechnungszyklus unser travis ci-dienst ausgesetzt. diese aussetzung verhindert deployments und stellt ernsthafte operative risiken dar. wir benötigen dringend hilfe, um dieses abrechnungsproblem zu beheben, um unterbrechungen unserer wesentlichen workflows zu vermeiden.",account & billing management,account & billing management,nan,high,4,german,german
unterstützung bei docusign benötigt,"liebes support-team, ich suche nach anleitungen, wie man e-signaturvorlagen für den docusign legallink onboarding-workflow einrichtet. die vorhandene dokumentation scheint veraltet zu sein, und ich wäre dankbar für eine klärung der korrekten konfigurationsschritte. ich verstehe, dass dies möglicherweise ein weniger dringendes anliegen ist, aber eine verbesserung der dokumentation würde den kunden-onboarding-prozess erheblich vereinfachen. wir nutzen legallink solutions mit docusign. vielen dank für ihre zeit und unterstützung. mit freundlichen grüßen, <name>",customer onboarding,customer onboarding,nan,low,2,german,german
hubspot crm-datensynchronisierungsfehler,"liebes support-team, hier meldet sich datavest advisors mit einem problem beim onboarding des hubspot crm. wir erleben intermittierende fehler bei der synchronisierung von kundendaten. dieses problem besteht bereits seit einigen tagen. obwohl wir eine vorübergehende lösung gefunden haben, benötigen wir innerhalb der nächsten 24 stunden eine dauerhafte lösung, um unterbrechungen in unserem betrieb zu vermeiden. das problem tritt auf geräten mit windows und macos auf und betrifft verschiedene browser wie chrome und firefox. im anhang finden sie einen screenshot zur referenz.",customer onboarding,customer onboarding,nan,medium,3,german,german
